system   D            wsystem.c:583  maybe_parent_dir                 [   0.00072] Also searching C:\Users\Mr. Mojo Risin\Documents\Visual Studio 2012\Projects\Project2\
display  D   display_settings.c:377  _al_score_display_settings       [   0.59160] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59162] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59165] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59168] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.59177] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.59183] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.59242] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.59247] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.60713] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.65265] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.65277] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.65281] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.65288] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.65292] Returning d3d_display: 005DA358
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.65294] al_display=005DA358
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.65297] al_display->vt=005DA2A0
dtor     D               dtor.c:184  _al_register_destructor          [   0.65593] added dtor for object 005EB550, func 635F24D2
dtor     D               dtor.c:184  _al_register_destructor          [   0.65602] added dtor for object 005EB620, func 635F27A7
